PATH,LINE,SMELL,CATEGORY
infochimps-labs_ironfan-pantry-cookbooks-nodejs-recipes-install_from_binary.rb,0,none,none
infochimps-labs_ironfan-pantry-cookbooks-sudo-recipes-default.rb,0,none,none
infochimps-labs_ironfan-pantry-cookbooks-windows-providers-batch.rb,0,none,none
infochimps-labs_ironfan-pantry-cookbooks-zabbix-providers-media_type.rb,0,none,none
johnfitzpatrick_ChefTraining-cookbooks-apache-recipes-user01_index.rb,0,none,none
michaelklishin_cassandra-chef-cookbook-recipes-opscenter_agent.rb,0,none,none
newrelic_infrastructure-agent-chef-recipes-default.rb,0,none,none
openstreetmap_chef-cookbooks-networking-libraries-ipaddresses.rb,0,none,none
rcbops-cookbooks_keystone-recipes-default.rb,0,none,none
sabarisankar27_chef-acceptance-fips-.acceptance-acceptance-cookbook-recipes-destroy.rb,0,none,none
sabarisankar27_chef-acceptance-top-cookbooks-.acceptance-acceptance-cookbook-recipes-provision.rb,0,none,none
scmgalaxy_chef-training-programs-uma-chef-repo-cookbooks-Application-.delivery-build_cookbook-recipes-provision.rb,0,none,none
sous-chefs_nrpe-recipes-default.rb,0,none,none
sous-chefs_php-recipes-package.rb,0,none,none
danielladd_Chef-Testing-cookbooks-mysql-attributes-server_rhel.rb,1,Missing Default in Case Statement,Missing Default in Case Statement
kitchenplan_chef-applications-recipes-omnigraffle.rb,1,Missing Default in Case Statement,Missing Default in Case Statement
chef-boneyard_qa-chef-server-cluster-attributes-default.rb,3,Hard-coded secret,Hard-coded secret
guymatz_chef-cookbooks-hive-attributes-default.rb,3,Missing Default in Case Statement,Missing Default in Case Statement
scmgalaxy_chef-training-programs-recipes-raviteja-chef-repo-E4.rb,3,No integrity check,No integrity check
scmgalaxy_chef-training-programs-recipes-raviteja-chef-repo-E4.rb,3,Use of HTTP without SSL/TLS,none
kitchenware_master-chef-cookbooks-base-recipes-editor.rb,5,Admin by default,Admin by default
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,8,none,Missing Default in Case Statement
chef_mixlib-install-acceptance-windows-server-2012r2-fips-.acceptance-acceptance-cookbook-recipes-verify.rb,9,Admin by default,none
danielladd_Chef-Testing-cookbooks-mysql-attributes-server_rhel.rb,10,Missing Default in Case Statement,Missing Default in Case Statement
cookbooks_ic-elasticsearch-cookbooks-install_from-definitions-osx_application.rb,10,Admin by default,none
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,10,Missing Default in Case Statement,none
Nikhil424_chef-repo-cookbooks-jdk-recipes-default.rb,11,Admin by default,Admin by default
cookbooks_ic-tuning-cookbooks-zabbix-libraries-zabbix_hosts_and_templates.rb,11,Missing Default in Case Statement,Missing Default in Case Statement
guymatz_chef-cookbooks-hive-attributes-default.rb,11,Use of HTTP without SSL/TLS,Use of HTTP without SSL/TLS
chef_mixlib-install-acceptance-windows-server-2012r2-fips-.acceptance-acceptance-cookbook-recipes-verify.rb,12,Hard-coded secret,Hard-coded secret
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,12,Missing Default in Case Statement,Missing Default in Case Statement
jonmthomson_cookbooks-mingw-recipes-default.rb,14,Hard-coded secret,Hard-coded secret
TaxiOS_zabbix-recipes-server_source.rb,14,Missing Default in Case Statement,Missing Default in Case Statement
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,14,Use of HTTP without SSL/TLS,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-jdk-recipes-default.rb,15,Admin by default,Admin by default
kitchenplan_chef-applications-recipes-omnigraffle.rb,15,No integrity check,No integrity check
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,16,Use of HTTP without SSL/TLS,Use of HTTP without SSL/TLS
TaxiOS_zabbix-recipes-server_source.rb,17,Missing Default in Case Statement,Missing Default in Case Statement
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,18,Use of HTTP without SSL/TLS,Use of HTTP without SSL/TLS
cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,19,Unrestricted IP Address,Unrestricted IP Address
guymatz_chef-cookbooks-psql-resources-user.rb,20,Empty password,Empty password
thomasmeeus_chef-apache2-recipes-mod_php5.rb,20,Missing Default in Case Statement,Missing Default in Case Statement
cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,20,Unrestricted IP Address,Unrestricted IP Address
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,20,Use of HTTP without SSL/TLS,Use of HTTP without SSL/TLS
cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb,20,Suspicious comment,none
cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,21,Unrestricted IP Address,Unrestricted IP Address
cookbooks_ic-elasticsearch-cookbooks-install_from-definitions-osx_application.rb,21,Admin by default,none
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,22,Hard-coded secret,Hard-coded secret
cookbooks_ic-volumes-cookbooks-strongswan-recipes-routing.rb,22,Suspicious comment,Suspicious comment
kitchenplan_chef-applications-recipes-omnigraffle.rb,22,Admin by default,none
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,22,Admin by default,none
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,23,Missing Default in Case Statement,Missing Default in Case Statement
guymatz_chef-cookbooks-psql-resources-user.rb,23,Empty password,none
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,24,Hard-coded secret,Hard-coded secret
infochimps-labs_ironfan-pantry-cookbooks-zsh-recipes-default.rb,24,Missing Default in Case Statement,Missing Default in Case Statement
cookbooks_ic-volumes_ebs-cookbooks-resque-attributes-default.rb,24,Unrestricted IP Address,Unrestricted IP Address
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb,25,Admin by default,Admin by default
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb,25,Admin by default,Admin by default
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb,26,Admin by default,Admin by default
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb,26,Admin by default,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,26,Hard-coded secret,Hard-coded secret
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,26,Use of HTTP without SSL/TLS,Use of HTTP without SSL/TLS
pu239ppy_chef-bach-code-bcpc-recipes-mysql.rb,26,Admin by default,none
kitchenplan_chef-applications-recipes-omnigraffle.rb,27,Admin by default,none
cookbooks_ic-tuning-cookbooks-zabbix-libraries-zabbix_hosts_and_templates.rb,28,Missing Default in Case Statement,Missing Default in Case Statement
cookbooks_ic-zabbix-cookbooks-zabbix-providers-host.rb,28,Unrestricted IP Address,Unrestricted IP Address
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,28,Use of HTTP without SSL/TLS,Use of HTTP without SSL/TLS
havk64_chef-zero-playground-cookbooks-runit-recipes-default.rb,29,Missing Default in Case Statement,Missing Default in Case Statement
cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb,29,Unrestricted IP Address,Unrestricted IP Address
cookbooks_ic-ganglia-cookbooks-elasticsearch-recipes-plugins.rb,30,Admin by default,Admin by default
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,30,Use of HTTP without SSL/TLS,Use of HTTP without SSL/TLS
cookbooks_ic-elasticsearch-cookbooks-install_from-definitions-osx_application.rb,30,Admin by default,none
TaxiOS_zabbix-recipes-server_source.rb,32,Missing Default in Case Statement,Missing Default in Case Statement
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,33,Use of HTTP without SSL/TLS,Use of HTTP without SSL/TLS
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,34,none,Hard-coded secret
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,34,Admin by default,none
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,35,Empty password,Empty password
cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb,35,Empty password,Empty password
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,35,none,Hard-coded secret
cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb,35,none,Hard-coded secret
openstreetmap_chef-cookbooks-accounts-recipes-default.rb,35,Missing Default in Case Statement,Missing Default in Case Statement
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,36,none,Hard-coded secret
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,36,Use of HTTP without SSL/TLS,Use of HTTP without SSL/TLS
guymatz_chef-cookbooks-python-attributes-default.rb,36,Use of HTTP without SSL/TLS,Use of HTTP without SSL/TLS
infochimps-labs_ironfan-pantry-cookbooks-python-attributes-default.rb,36,Use of HTTP without SSL/TLS,none
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,37,Empty password,Empty password
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,37,none,Hard-coded secret
infochimps-labs_ironfan-pantry-cookbooks-iptables-recipes-default.rb,39,Missing Default in Case Statement,Missing Default in Case Statement
kitchenplan_chef-applications-recipes-omnigraffle.rb,40,No integrity check,No integrity check
guymatz_chef-cookbooks-mysql-attributes-client.rb,41,none,Use of HTTP without SSL/TLS
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,42,Admin by default,Admin by default
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb,47,Admin by default,Admin by default
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb,47,Admin by default,Admin by default
kitchenplan_chef-applications-recipes-omnigraffle.rb,47,Admin by default,none
cookbooks_ic-nodejs-cookbooks-hbase-recipes-config_files.rb,49,Suspicious comment,Suspicious comment
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,50,Admin by default,Admin by default
cookbooks_ic-zabbix-cookbooks-zabbix-providers-host.rb,50,Unrestricted IP Address,Unrestricted IP Address
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,51,Hard-coded secret,Hard-coded secret
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,52,Hard-coded secret,Hard-coded secret
kitchenplan_chef-applications-recipes-omnigraffle.rb,52,Admin by default,none
TaxiOS_zabbix-recipes-server_source.rb,57,Missing Default in Case Statement,Missing Default in Case Statement
thomasmeeus_chef-apache2-recipes-mod_php5.rb,64,Missing Default in Case Statement,Missing Default in Case Statement
kitchenplan_chef-applications-recipes-omnigraffle.rb,65,No integrity check,No integrity check
kitchenplan_chef-applications-recipes-omnigraffle.rb,72,Admin by default,none
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,75,Admin by default,Admin by default
kitchenplan_chef-applications-recipes-omnigraffle.rb,78,Admin by default,none
kitchenplan_chef-applications-recipes-omnigraffle.rb,80,Missing Default in Case Statement,none
openstreetmap_chef-cookbooks-civicrm-recipes-default.rb,81,No integrity check,No integrity check
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,87,none,Admin by default
pu239ppy_chef-bach-code-bcpc-recipes-mysql.rb,88,Admin by default,Admin by default
openstreetmap_chef-cookbooks-civicrm-recipes-default.rb,90,No integrity check,No integrity check
cookbooks_ic-package_set-cookbooks-rvm-providers-global_gem.rb,91,Admin by default,Admin by default
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,93,Suspicious comment,Suspicious comment
pu239ppy_chef-bach-code-bcpc-recipes-mysql.rb,96,Admin by default,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,99,Admin by default,Admin by default
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,101,Admin by default,Admin by default
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,112,Suspicious comment,Suspicious comment
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,117,Missing Default in Case Statement,Missing Default in Case Statement
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,126,Admin by default,Admin by default
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb,129,Use of weak cryptography algorithms,Use of weak cryptography algorithms
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,130,Admin by default,Admin by default
pu239ppy_chef-bach-code-bcpc-recipes-mysql.rb,134,Admin by default,Admin by default
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb,135,Admin by default,Admin by default
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb,135,Admin by default,Admin by default
desirit_chef-bach-cookbooks-bcpc-hadoop-recipes-oozie.rb,142,Admin by default,Admin by default
pu239ppy_chef-bach-code-bcpc-recipes-mysql.rb,146,Admin by default,Admin by default
desirit_chef-bach-cookbooks-bcpc-hadoop-recipes-oozie.rb,148,Empty password,none
desirit_chef-bach-cookbooks-bcpc-hadoop-recipes-oozie.rb,149,Empty password,none
desirit_chef-bach-cookbooks-bcpc-hadoop-recipes-oozie.rb,152,Admin by default,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,152,Admin by default,none
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,153,none,Admin by default
desirit_chef-bach-cookbooks-bcpc-hadoop-recipes-oozie.rb,155,none,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,160,Admin by default,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,161,Admin by default,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,162,Admin by default,Admin by default
openstreetmap_chef-cookbooks-civicrm-recipes-default.rb,162,Use of HTTP without SSL/TLS,Use of HTTP without SSL/TLS
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,163,Admin by default,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,164,none,Admin by default
pu239ppy_chef-bach-code-bcpc-recipes-mysql.rb,173,Admin by default,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,174,Admin by default,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,184,Admin by default,Admin by default
desirit_chef-bach-cookbooks-bcpc-hadoop-recipes-oozie.rb,424,Missing Default in Case Statement,none
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,424,Missing Default in Case Statement,none
