PATH,LINE,SMELL,CATEGORY
openstack@puppet-openstack-integration-manifests-designate.pp,11,Hard-coded secret,Hard-coded secret
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,13,none,Hard-coded secret
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,13,Hard-coded secret,none
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,14,Hard-coded secret,Hard-coded secret
openstack@puppet-openstack-integration-manifests-designate.pp,16,Hard-coded secret,Hard-coded secret
alphagov@govuk-puppet-modules-govuk_beat-manifests-repo.pp,16,none,Use of HTTP without SSL/TLS
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,17,none,Missing Default in Case Statement
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,19,Hard-coded secret,none
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,21,Admin by default,Admin by default
Yelp@puppet-uchiwa-manifests-repo-yum.pp,21,No integrity check,No integrity check
quintel@boxen-modules-osx-manifests-recovery_message.pp,22,Admin by default,Admin by default
purpleidea@puppet-gluster-manifests-simple.pp,22,Suspicious comment,Suspicious comment
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp,23,Use of weak cryptography algorithms,Use of weak cryptography algorithms
puphpet@puppet-puphpet-manifests-nginx-params.pp,25,Use of weak cryptography algorithms,Use of weak cryptography algorithms
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,26,Admin by default,Admin by default
purpleidea@puppet-gluster-manifests-simple.pp,26,Empty password,Empty password
openstack@puppet-openstack-integration-manifests-designate.pp,26,none,Hard-coded secret
openstack@puppet-openstack-integration-manifests-designate.pp,27,Hard-coded secret,Hard-coded secret
voxpupuli@puppet-rundeck-manifests-config-global-framework.pp,28,Use of HTTP without SSL/TLS,none
quintel@boxen-modules-osx-manifests-recovery_message.pp,29,Admin by default,Admin by default
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,29,Missing Default in Case Statement,Missing Default in Case Statement
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp,29,Unrestricted IP Address,Unrestricted IP Address
Vizir@carnival-vagrant-modules-apt-manifests-backports.pp,31,Missing Default in Case Statement,Missing Default in Case Statement
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,32,Admin by default,Admin by default
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,32,Missing Default in Case Statement,Missing Default in Case Statement
openstack@puppet-openstack-integration-manifests-designate.pp,32,Hard-coded secret,none
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,33,Admin by default,Admin by default
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-ssh.pp,34,Use of weak cryptography algorithms,Use of weak cryptography algorithms
Vizir@carnival-vagrant-modules-apt-manifests-backports.pp,35,Missing Default in Case Statement,Missing Default in Case Statement
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-ssh.pp,35,Use of weak cryptography algorithms,Use of weak cryptography algorithms
openstack@puppet-tripleo-manifests-profile-base-aide-installdb.pp,36,Admin by default,Admin by default
puphpet@puppet-puphpet-manifests-nginx-params.pp,36,Missing Default in Case Statement,Missing Default in Case Statement
hubspotdevops@puppet-nexus-manifests-params.pp,36,Unrestricted IP Address,Unrestricted IP Address
openstack@puppet-openstack-integration-manifests-designate.pp,37,Suspicious comment,Suspicious comment
openstack@puppet-openstack-integration-manifests-designate.pp,39,Hard-coded secret,Hard-coded secret
openstack@puppet-openstack-integration-manifests-designate.pp,40,Use of HTTP without SSL/TLS,Use of HTTP without SSL/TLS
puphpet@puppet-puphpet-manifests-nginx-params.pp,41,Missing Default in Case Statement,Missing Default in Case Statement
openstack@puppet-openstack-integration-manifests-designate.pp,41,Use of HTTP without SSL/TLS,Use of HTTP without SSL/TLS
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,42,Admin by default,Admin by default
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,42,Missing Default in Case Statement,Missing Default in Case Statement
openstack@puppet-openstack-integration-manifests-designate.pp,42,Use of HTTP without SSL/TLS,Use of HTTP without SSL/TLS
SecGen@SecGen-modules-services-unix-smb-samba-manifests-params.pp,44,Admin by default,Admin by default
openstack@puppet-tripleo-manifests-profile-base-aide-installdb.pp,44,Admin by default,Admin by default
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,44,none,Missing Default in Case Statement
openstack@puppet-openstack-integration-manifests-designate.pp,45,Hard-coded secret,Hard-coded secret
quintel@boxen-modules-osx-manifests-recovery_message.pp,48,Admin by default,Admin by default
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,48,Empty password,Empty password
openstack@puppet-openstack-integration-manifests-designate.pp,55,Use of HTTP without SSL/TLS,Use of HTTP without SSL/TLS
quintel@boxen-modules-osx-manifests-recovery_message.pp,67,Admin by default,Admin by default
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,68,none,Missing Default in Case Statement
SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,72,Empty password,none
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp,74,Unrestricted IP Address,Unrestricted IP Address
purpleidea@puppet-gluster-manifests-simple.pp,81,Suspicious comment,Suspicious comment
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,84,Unrestricted IP Address,Unrestricted IP Address
openstack@puppet-openstack-integration-manifests-designate.pp,91,Hard-coded secret,none
redhat-openstack@puppet-galera-manifests-server.pp,98,Admin by default,Admin by default
purpleidea@puppet-gluster-manifests-simple.pp,98,Empty password,none
redhat-openstack@puppet-galera-manifests-server.pp,99,Empty password,Empty password
openstack@puppet-openstack-integration-manifests-designate.pp,100,Suspicious comment,Suspicious comment
redhat-openstack@puppet-galera-manifests-server.pp,106,Unrestricted IP Address,Unrestricted IP Address
SecGen@SecGen-modules-services-unix-smb-samba-manifests-params.pp,111,Unrestricted IP Address,Unrestricted IP Address
mattheath@puppet-php-manifests-version.pp,122,Suspicious comment,none
purpleidea@puppet-gluster-manifests-simple.pp,145,Suspicious comment,Suspicious comment
