PATH,LINE_ann1,SMELL_ann1,LINE_ann2,SMELL_ann2,LINE_ann3,SMELL_ann3,LINE_ann4,SMELL_ann4,LINE_ann5,SMELL_ann5
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-smokey.pp,0,none,0,none,0,none,0,none,0,none
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,48,Empty password,48,Empty password,48,Empty password,48,Empty password,48,Empty password
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp,84,Unrestricted IP Address,84,Unrestricted IP Address,84,Unrestricted IP Address,84,Unrestricted IP Address,84,Unrestricted IP Address
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp,23,Use of weak cryptography algorithms,23,Use of weak cryptography algorithms,23,Use of weak cryptography algorithms,23,Use of weak cryptography algorithms,23,Use of weak cryptography algorithms
alphagov@govuk-puppet-modules-govuk_rabbitmq-manifests-monitoring.pp,1,Suspicious comment,1,Suspicious comment,1,Suspicious comment,1,Suspicious comment,1,Suspicious comment
alphagov@govuk-puppet-modules-govuk_rbenv-manifests-all.pp,0,none,0,none,0,none,0,none,0,none
alphagov@govuk-puppet-modules-icinga-manifests-init.pp,1,Suspicious comment,1,Suspicious comment,1,Suspicious comment,1,Suspicious comment,1,Suspicious comment
alphagov@govuk-puppet-modules-users-manifests-felisialoukou.pp,0,none,0,none,0,none,0,none,0,none
boxbilling@boxbilling-puphpet-puppet-modules-apache-manifests-mod-pagespeed.pp,0,none,0,none,0,none,0,none,0,none
boxbilling@boxbilling-puphpet-puppet-modules-apache-manifests-ssl.pp,0,none,0,none,0,none,0,none,0,none
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,none,none,none,none,none,none,17,Missing Default in Case Statement,none,none
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,none,none,29,Missing Default in Case Statement,none,none,none,none,29,Missing Default in Case Statement
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,32,Missing Default in Case Statement,32,Missing Default in Case Statement,32,Missing Default in Case Statement,32,Missing Default in Case Statement,32,Missing Default in Case Statement
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,42,Missing Default in Case Statement,42,Missing Default in Case Statement,42,Missing Default in Case Statement,42,Missing Default in Case Statement,42,Missing Default in Case Statement
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,44,Missing Default in Case Statement,none,none,44,Missing Default in Case Statement,none,none,none,none
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp,none,none,none,none,none,none,74,Hard-coded secret,none,none
boxbilling@boxbilling-puphpet-puppet-modules-yum-manifests-repo-jpackage6.pp,0,none,0,none,0,none,0,none,0,none
camptocamp@puppet-python-manifests-pip-couchdb.pp,0,none,0,none,0,none,none,none,0,none
camptocamp@puppet-python-manifests-pip-couchdb.pp,none,none,none,none,none,none,20,Suspicious comment,none,none
camptocamp@puppet-python-manifests-pip-couchdb.pp,none,none,none,none,none,none,21,Suspicious comment,none,none
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,21,Admin by default,21,Admin by default,21,Admin by default,21,Admin by default,21,Admin by default
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,26,Admin by default,26,Admin by default,26,Admin by default,26,Admin by default,26,Admin by default
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,33,Admin by default,33,Admin by default,33,Admin by default,33,Admin by default,33,Admin by default
cargomedia@puppet-packages-modules-capistrano-manifests-init.pp,0,none,0,none,0,none,0,none,0,none
cargomedia@puppet-packages-modules-mysql-manifests-server-instance.pp,1,Empty password,1,Empty password,1,Empty password,1,Empty password,1,Empty password
cargomedia@puppet-packages-modules-ulimit-manifests-entry.pp,0,none,0,none,0,none,0,none,0,none
ceph@puppet-ceph-manifests-mds.pp,0,none,0,none,0,none,0,none,0,none
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,9,Hard-coded secret,9,Hard-coded secret,9,Hard-coded secret,9,Hard-coded secret,9,Hard-coded secret
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,14,Hard-coded secret,14,Hard-coded secret,14,Hard-coded secret,14,Hard-coded secret,14,Hard-coded secret
duritong@puppet-shorewall-manifests-dnat_rule.pp,0,none,0,none,0,none,0,none,0,none
fuel-infra@puppet-manifests-modules-obs_server-manifests-folders.pp,0,none,0,none,0,none,0,none,0,none
hubspotdevops@puppet-nexus-manifests-params.pp,36,Unrestricted IP Address,36,Unrestricted IP Address,36,Unrestricted IP Address,36,Unrestricted IP Address,36,Unrestricted IP Address
mattheath@puppet-php-manifests-5_3_11.pp,0,none,0,none,0,none,0,none,0,none
mattheath@puppet-php-manifests-fpm-5_3_15.pp,0,none,0,none,0,none,0,none,0,none
mattheath@puppet-php-manifests-version.pp,122,Suspicious comment,122,Suspicious comment,122,Suspicious comment,122,Suspicious comment,122,Suspicious comment
mayflower@wasted-site-component-manifests-mongodb.pp,0,none,0,none,0,none,0,none,0,none
mikeedwards83@Glass.Mapper-Archived-Glass.Mapper.Umb.CastleWindsor-App_Start-GlassMapperUmb.cs.pp,0,none,0,none,0,none,0,none,0,none
norcams@himlar-profile-manifests-highavailability-loadbalancing-haproxy-list.pp,0,none,0,none,0,none,0,none,0,none
norcams@himlar-profile-manifests-storage-ceph-zonegroup.pp,0,none,0,none,0,none,0,none,0,none
openstack@fuel-library-deployment-puppet-cluster-manifests-conntrackd_ocf.pp,0,none,0,none,0,none,0,none,0,none
openstack@fuel-library-deployment-puppet-openstack_tasks-examples-heat-cfn_keystone.pp,0,none,0,none,0,none,0,none,0,none
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,9,Admin by default,9,Admin by default,9,Admin by default,9,Admin by default,9,Admin by default
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,none,none,13,Hard-coded secret,none,none,none,none,13,Hard-coded secret
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,none,none,19,Hard-coded secret,none,none,19,Hard-coded secret,19,Hard-coded secret
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-plugins-plugins_rsync.pp,0,none,0,none,0,none,0,none,0,none
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-ssh.pp,34,Use of weak cryptography algorithms,34,Use of weak cryptography algorithms,34,Use of weak cryptography algorithms,34,Use of weak cryptography algorithms,34,Use of weak cryptography algorithms
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-ssh.pp,35,Use of weak cryptography algorithms,35,Use of weak cryptography algorithms,35,Use of weak cryptography algorithms,35,Use of weak cryptography algorithms,35,Use of weak cryptography algorithms
openstack@fuel-library-deployment-puppet-tweaks-manifests-ubuntu_service_override.pp,0,none,0,none,0,none,0,none,0,none
openstack@fuel-octane-deployment-puppet-octane_tasks-modular-mysqldump_restore.pp,0,none,0,none,0,none,0,none,0,none
openstack@puppet-monasca-manifests-virtualenv-instance.pp,0,none,0,none,0,none,0,none,0,none
openstack@puppet-neutron-manifests-params.pp,0,none,0,none,0,none,0,none,0,none
openstack@puppet-neutron-manifests-server-placement.pp,0,none,0,none,0,none,0,none,0,none
openstack@puppet-openstack-integration-manifests-designate.pp,11,Hard-coded secret,11,Hard-coded secret,11,Hard-coded secret,11,Hard-coded secret,11,Hard-coded secret
openstack@puppet-openstack-integration-manifests-designate.pp,16,Hard-coded secret,16,Hard-coded secret,16,Hard-coded secret,16,Hard-coded secret,16,Hard-coded secret
openstack@puppet-openstack-integration-manifests-designate.pp,27,Hard-coded secret,27,Hard-coded secret,27,Hard-coded secret,27,Hard-coded secret,27,Hard-coded secret
openstack@puppet-openstack-integration-manifests-designate.pp,32,Hard-coded secret,32,Hard-coded secret,32,Hard-coded secret,none,none,32,Hard-coded secret
openstack@puppet-openstack-integration-manifests-designate.pp,37,Suspicious comment,37,Suspicious comment,37,Suspicious comment,37,Suspicious comment,37,Suspicious comment
openstack@puppet-openstack-integration-manifests-designate.pp,39,Hard-coded secret,39,Hard-coded secret,39,Hard-coded secret,39,Hard-coded secret,39,Hard-coded secret
openstack@puppet-openstack-integration-manifests-designate.pp,40,Use of HTTP without SSL/TLS,40,Use of HTTP without SSL/TLS,40,Use of HTTP without SSL/TLS,40,Use of HTTP without SSL/TLS,40,Use of HTTP without SSL/TLS
openstack@puppet-openstack-integration-manifests-designate.pp,41,Use of HTTP without SSL/TLS,41,Use of HTTP without SSL/TLS,41,Use of HTTP without SSL/TLS,41,Use of HTTP without SSL/TLS,41,Use of HTTP without SSL/TLS
openstack@puppet-openstack-integration-manifests-designate.pp,42,Use of HTTP without SSL/TLS,42,Use of HTTP without SSL/TLS,42,Use of HTTP without SSL/TLS,42,Use of HTTP without SSL/TLS,42,Use of HTTP without SSL/TLS
openstack@puppet-openstack-integration-manifests-designate.pp,45,Hard-coded secret,45,Hard-coded secret,45,Hard-coded secret,45,Hard-coded secret,45,Hard-coded secret
openstack@puppet-openstack-integration-manifests-designate.pp,55,Use of HTTP without SSL/TLS,55,Use of HTTP without SSL/TLS,55,Use of HTTP without SSL/TLS,55,Use of HTTP without SSL/TLS,55,Use of HTTP without SSL/TLS
openstack@puppet-openstack-integration-manifests-designate.pp,91,Hard-coded secret,91,Hard-coded secret,91,Hard-coded secret,91,Hard-coded secret,91,Hard-coded secret
openstack@puppet-openstack-integration-manifests-designate.pp,100,Suspicious comment,100,Suspicious comment,100,Suspicious comment,100,Suspicious comment,100,Suspicious comment
openstack@puppet-tripleo-manifests-profile-base-aide-installdb.pp,36,Admin by default,36,Admin by default,36,Admin by default,36,Admin by default,36,Admin by default
openstack@puppet-tripleo-manifests-profile-base-aide-installdb.pp,44,Admin by default,44,Admin by default,44,Admin by default,44,Admin by default,44,Admin by default
openstack@puppet-tripleo-manifests-profile-base-manila-api.pp,0,none,0,none,0,none,0,none,0,none
openstack@puppet-tripleo-manifests-profile-base-manila-scheduler.pp,0,none,0,none,0,none,0,none,0,none
openstack@puppet-tripleo-manifests-profile-base-neutron-wrappers-dibbler_client.pp,0,none,0,none,0,none,0,none,0,none
openstack@puppet-tripleo-manifests-stunnel-service_proxy.pp,0,none,0,none,0,none,0,none,0,none
poetic@our-boxen-manifests-site.pp,0,none,0,none,0,none,0,none,0,none
poetic@our-boxen-modules-people-manifests-bobobhai.pp,0,none,0,none,0,none,0,none,0,none
puphpet@puppet-puphpet-manifests-nginx-params.pp,25,Use of weak cryptography algorithms,25,Use of weak cryptography algorithms,25,Use of weak cryptography algorithms,25,Use of weak cryptography algorithms,25,Use of weak cryptography algorithms
puphpet@puppet-puphpet-manifests-nginx-params.pp,36,Missing Default in Case Statement,36,Missing Default in Case Statement,36,Missing Default in Case Statement,36,Missing Default in Case Statement,36,Missing Default in Case Statement
puphpet@puppet-puphpet-manifests-nginx-params.pp,41,Missing Default in Case Statement,41,Missing Default in Case Statement,41,Missing Default in Case Statement,41,Missing Default in Case Statement,41,Missing Default in Case Statement
puppetlabs@pltraining-userprefs-examples-npp.pp,0,none,0,none,0,none,0,none,0,none
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,0,none,none,none,0,none,0,none,none,none
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,none,none,9,Use of weak cryptography algorithms,none,none,none,none,9,Use of weak cryptography algorithms
puppetlabs@puppetlabs-mysql-manifests-server-config.pp,0,none,0,none,0,none,0,none,0,none
purpleidea@puppet-gluster-manifests-simple.pp,22,Suspicious comment,22,Suspicious comment,22,Suspicious comment,22,Suspicious comment,22,Suspicious comment
purpleidea@puppet-gluster-manifests-simple.pp,26,Empty password,26,Empty password,26,Empty password,26,Empty password,26,Empty password
purpleidea@puppet-gluster-manifests-simple.pp,81,Suspicious comment,81,Suspicious comment,81,Suspicious comment,81,Suspicious comment,81,Suspicious comment
purpleidea@puppet-gluster-manifests-simple.pp,98,Empty password,98,Empty password,98,Empty password,98,Empty password,98,Empty password
purpleidea@puppet-gluster-manifests-simple.pp,145,Suspicious comment,145,Suspicious comment,145,Suspicious comment,145,Suspicious comment,145,Suspicious comment
quintel@boxen-modules-nodejs-manifests-v0_4.pp,0,none,0,none,0,none,0,none,0,none
quintel@boxen-modules-osx-manifests-recovery_message.pp,22,Admin by default,22,Admin by default,22,Admin by default,22,Admin by default,22,Admin by default
quintel@boxen-modules-osx-manifests-recovery_message.pp,29,Admin by default,29,Admin by default,29,Admin by default,29,Admin by default,29,Admin by default
quintel@boxen-modules-osx-manifests-recovery_message.pp,48,Admin by default,48,Admin by default,48,Admin by default,48,Admin by default,48,Admin by default
quintel@boxen-modules-osx-manifests-recovery_message.pp,67,Admin by default,67,Admin by default,67,Admin by default,none,none,67,Admin by default
redhat-openstack@puppet-galera-manifests-server.pp,98,Admin by default,98,Admin by default,98,Admin by default,98,Admin by default,98,Admin by default
redhat-openstack@puppet-galera-manifests-server.pp,99,Empty password,99,Empty password,99,Empty password,99,Empty password,99,Empty password
redhat-openstack@puppet-galera-manifests-server.pp,106,Unrestricted IP Address,106,Unrestricted IP Address,106,Unrestricted IP Address,106,Unrestricted IP Address,106,Unrestricted IP Address
thiagoarrais@gtk2hs-gtk-Graphics-UI-Gtk-Gdk-PixbufData.hs.pp,0,none,0,none,0,none,0,none,0,none
voxpupuli@puppet-nginx-examples-server_ssl.pp,0,none,0,none,0,none,0,none,0,none
voxpupuli@puppet-rabbitmq-examples-permissions-add.pp,2,Hard-coded secret,2,Hard-coded secret,2,Hard-coded secret,2,Hard-coded secret,2,Hard-coded secret
voxpupuli@puppet-rabbitmq-examples-server.pp,0,none,0,none,0,none,0,none,0,none
voxpupuli@puppet-rundeck-manifests-config-global-framework.pp,28,Use of HTTP without SSL/TLS,28,Use of HTTP without SSL/TLS,28,Use of HTTP without SSL/TLS,28,Use of HTTP without SSL/TLS,28,Use of HTTP without SSL/TLS
wesleytodd@YeoPress-app-templates-puppet-modules-mysql-manifests-ruby.pp,0,none,0,none,0,none,0,none,0,none
wikimedia@mediawiki-vagrant-puppet-modules-ocg-manifests-init.pp,0,none,0,none,0,none,0,none,0,none
wikimedia@mediawiki-vagrant-puppet-modules-role-manifests-notebook.pp,0,none,0,none,0,none,0,none,0,none
wikimedia@mediawiki-vagrant-puppet-modules-xhprofgui-manifests-init.pp,0,none,0,none,0,none,0,none,0,none
